Epoch,T_Loss,T_B_Acc,T_Recall,T_Spec,V_Loss,V_B_Acc,V_Recall,V_Spec,Thresh
1,5.8994,0.5382,0.2656,0.8108,4.2147,0.5884,0.6711,0.5056,0.26
1,5.9235,0.5245,0.2646,0.7844,4.2781,0.5557,0.7393,0.3721,0.23
2,3.8672,0.5595,0.5190,0.6000,3.3200,0.5759,0.6968,0.4549,0.34
3,3.2107,0.5803,0.5652,0.5954,2.8988,0.5995,0.6967,0.5023,0.41
4,2.8290,0.6155,0.6818,0.5492,2.5970,0.6345,0.7752,0.4938,0.43
5,2.5329,0.6451,0.7983,0.4918,2.3863,0.6532,0.8344,0.4721,0.43
6,2.2534,0.6617,0.7799,0.5435,2.0893,0.6739,0.8306,0.5172,0.49
7,2.0101,0.6866,0.8647,0.5086,1.9324,0.6928,0.8769,0.5087,0.47
8,1.8431,0.7092,0.8595,0.5589,1.8179,0.7158,0.8603,0.5712,0.50
9,1.7154,0.7270,0.9033,0.5507,1.7219,0.7258,0.8969,0.5547,0.48
10,1.6025,0.7436,0.9093,0.5778,1.6218,0.7419,0.8912,0.5927,0.49
11,1.5231,0.7544,0.9108,0.5979,1.5672,0.7541,0.9004,0.6079,0.50
12,1.4519,0.7651,0.9355,0.5946,1.4996,0.7681,0.9198,0.6165,0.48
13,1.3674,0.7796,0.9496,0.6096,1.4982,0.7783,0.9155,0.6410,0.47
14,1.3093,0.7906,0.9557,0.6256,1.4158,0.7870,0.9284,0.6457,0.47
15,1.2653,0.7962,0.9628,0.6295,1.4124,0.7963,0.9373,0.6554,0.46
16,1.2285,0.8029,0.9582,0.6475,1.3519,0.8025,0.9372,0.6679,0.48
17,1.1831,0.8083,0.9658,0.6508,1.3444,0.8033,0.9386,0.6681,0.47
18,1.1488,0.8147,0.9576,0.6718,1.2731,0.8017,0.9335,0.6699,0.50
19,1.1175,0.8122,0.9761,0.6482,1.2896,0.8142,0.9492,0.6792,0.45
20,1.0790,0.8182,0.9759,0.6605,1.2485,0.8141,0.9489,0.6792,0.46
21,1.0441,0.8262,0.9691,0.6834,1.2728,0.8164,0.9293,0.7035,0.49
22,1.0121,0.8284,0.9732,0.6837,1.2286,0.8206,0.9369,0.7043,0.48
23,0.9888,0.8310,0.9766,0.6854,1.2223,0.8249,0.9452,0.7047,0.47
24,0.9586,0.8354,0.9765,0.6943,1.1728,0.8279,0.9435,0.7122,0.48
25,0.9368,0.8387,0.9766,0.7008,1.1868,0.8285,0.9425,0.7146,0.48
26,0.9126,0.8404,0.9806,0.7002,1.2152,0.8353,0.9387,0.7319,0.47
27,0.8979,0.8418,0.9809,0.7026,1.1421,0.8337,0.9547,0.7127,0.47
28,0.8770,0.8484,0.9737,0.7232,1.1399,0.8350,0.9327,0.7373,0.50
29,0.8552,0.8463,0.9830,0.7095,1.1423,0.8400,0.9505,0.7296,0.46
30,0.8452,0.8500,0.9805,0.7196,1.1194,0.8394,0.9455,0.7333,0.48
31,0.8259,0.8563,0.9740,0.7386,1.0999,0.8430,0.9309,0.7551,0.51
32,0.8076,0.8562,0.9817,0.7307,1.1160,0.8436,0.9432,0.7439,0.48
33,0.7885,0.8581,0.9819,0.7343,1.0754,0.8494,0.9448,0.7540,0.48
34,0.7754,0.8591,0.9846,0.7337,1.0612,0.8548,0.9537,0.7559,0.47
35,0.7679,0.8579,0.9866,0.7293,1.1011,0.8544,0.9522,0.7567,0.45
36,0.7533,0.8589,0.9889,0.7288,1.0616,0.8543,0.9588,0.7499,0.44
37,0.7398,0.8635,0.9865,0.7405,1.0548,0.8590,0.9467,0.7713,0.46
38,0.7235,0.8661,0.9859,0.7462,1.0435,0.8567,0.9433,0.7700,0.47
39,0.7160,0.8696,0.9829,0.7562,1.0465,0.8592,0.9353,0.7830,0.49
40,0.7056,0.8671,0.9874,0.7467,1.0461,0.8583,0.9497,0.7668,0.46
41,0.6928,0.8664,0.9902,0.7426,1.0627,0.8610,0.9551,0.7669,0.44
42,0.6800,0.8693,0.9884,0.7502,1.0051,0.8593,0.9540,0.7646,0.46
43,0.6706,0.8749,0.9867,0.7631,0.9934,0.8623,0.9513,0.7732,0.48
44,0.6552,0.8727,0.9900,0.7554,1.0286,0.8662,0.9527,0.7797,0.45
45,0.6538,0.8790,0.9839,0.7742,0.9988,0.8640,0.9395,0.7885,0.50
46,0.6416,0.8760,0.9894,0.7627,0.9760,0.8608,0.9575,0.7641,0.46
47,0.6304,0.8770,0.9897,0.7642,1.0018,0.8670,0.9506,0.7833,0.46
48,0.6244,0.8784,0.9899,0.7668,0.9942,0.8634,0.9538,0.7730,0.46
49,0.6143,0.8782,0.9912,0.7652,0.9751,0.8670,0.9580,0.7760,0.45
50,0.6068,0.8800,0.9906,0.7693,1.0283,0.8684,0.9454,0.7914,0.46
51,0.5964,0.8810,0.9908,0.7713,0.9844,0.8684,0.9493,0.7874,0.46
52,0.5872,0.8811,0.9919,0.7703,0.9851,0.8694,0.9564,0.7823,0.45
53,0.5791,0.8830,0.9914,0.7746,0.9653,0.8719,0.9519,0.7919,0.46
54,0.5617,0.8836,0.9924,0.7748,0.9637,0.8770,0.9544,0.7996,0.45
55,0.5641,0.8853,0.9919,0.7786,0.9700,0.8685,0.9524,0.7845,0.46
56,0.5604,0.8836,0.9924,0.7748,0.9610,0.8713,0.9569,0.7857,0.45
57,0.5467,0.8862,0.9930,0.7795,0.9729,0.8723,0.9553,0.7894,0.45
58,0.5415,0.8822,0.9943,0.7701,0.9558,0.8777,0.9644,0.7911,0.42
59,0.5319,0.8847,0.9941,0.7752,0.9375,0.8801,0.9611,0.7991,0.43
60,0.5207,0.8871,0.9942,0.7799,0.9633,0.8801,0.9582,0.8020,0.43
61,0.5159,0.8939,0.9914,0.7963,0.9286,0.8755,0.9479,0.8031,0.48
62,0.5105,0.8907,0.9934,0.7879,0.9598,0.8772,0.9514,0.8030,0.45
